Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_upheld_rate,period,year,half,sector,avg_upheld_rate,period_sort,period_date,industry_avg,upheld_deviation,firm_yoy_change,volatility_score
esure Insurance Limited,ESURE GROUP PLC,2022-01-01 to 2022-06-30,,,,0.6746,,,2022-h1,2022,h1,Insurance,67.46,1,2022-01-01,52.00837250000001,15.451627499999988,5.260000000000005,14.239999999999995
EUI Limited,ADMIRAL GROUP PLC,2022-01-01 to 2022-06-30,,,,0.5525,,,2022-h1,2022,h1,Insurance,55.25,1,2022-01-01,52.00837250000001,3.241627499999993,6.329999999999998,12.758816799030825
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,2022-01-01 to 2022-06-30,,,,0.1596,,,2022-h1,2022,h1,Insurance,15.96,1,2022-01-01,52.00837250000001,-36.048372500000006,,
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,2022-01-01 to 2022-06-30,,,,0.379,,,2022-h1,2022,h1,Insurance,37.9,1,2022-01-01,52.00837250000001,-14.108372500000009,-30.64,30.64
Experian Limited,NO GROUP,2021-10-01 to 2022-03-31,,,,,,,2022-h1,2022,h1,Other,,1,2022-01-01,52.00837250000001,,,14.28571428571428
Extracover Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.494,,,2022-h1,2022,h1,Insurance,49.4,1,2022-01-01,52.00837250000001,-2.6083725000000086,,20.5
Fairmead Insurance Limited,ALLIANZ SE,2022-01-01 to 2022-06-30,,,,0.7159,,,2022-h1,2022,h1,Insurance,71.59,1,2022-01-01,52.00837250000001,19.5816275,,
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2022-01-01 to 2022-06-30,0.241,,,,0.3038,,2022-h1,2022,h1,Investments,27.24,1,2022-01-01,52.00837250000001,-24.76837250000001,22.065,23.17000000000001
FCE Bank Plc,NO GROUP,2022-01-01 to 2022-06-30,0.4526,,,,,,2022-h1,2022,h1,Banking,45.26,1,2022-01-01,52.00837250000001,-6.748372500000009,,39.629999999999995
FIL Life Insurance Limited,FIDELITY HOLDINGS LIMITED,2022-01-01 to 2022-06-30,,0.2805,,,,,2022-h1,2022,h1,Insurance,28.050000000000004,1,2022-01-01,52.00837250000001,-23.958372500000003,,7.8983614697120075
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2022-01-01 to 2022-06-30,,0.5845,,,0.4511,,2022-h1,2022,h1,Insurance,51.78,1,2022-01-01,52.00837250000001,-0.228372500000006,-0.835000000000008,12.189058517087688
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2022-01-01 to 2022-06-30,,,,0.5383,,,2022-h1,2022,h1,Insurance,53.83,1,2022-01-01,52.00837250000001,1.821627499999991,0.4400000000000048,10.550000000000004
FirstRand Bank Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,,,,2022-h1,2022,h1,Banking,,1,2022-01-01,52.00837250000001,,,38.89
Fortegra Europe Insurance Company Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,0.4758,,,2022-h1,2022,h1,Insurance,47.58,1,2022-01-01,52.00837250000001,-4.428372500000009,7.359999999999999,25.35
Funding Circle Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,,0.129,,2022-h1,2022,h1,Investments,12.9,1,2022-01-01,52.00837250000001,-39.10837250000001,25.99,25.990000000000002
Gresham Insurance Company Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.392,,,2022-h1,2022,h1,Insurance,39.2,1,2022-01-01,52.00837250000001,-12.808372500000004,,8.653535353535347
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,0.6296,,,0.5445,,2022-h1,2022,h1,Insurance,58.705000000000005,1,2022-01-01,52.00837250000001,6.696627499999998,4.460000000000001,16.240022762839665
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,2022-01-01 to 2022-06-30,0.5526,0.4161,,,0.3453,,2022-h1,2022,h1,Energy & Utilities,43.8,1,2022-01-01,52.00837250000001,-8.20837250000001,10.200000000000005,25.278333333333336
Hastings Insurance Services Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.6162,,,2022-h1,2022,h1,Insurance,61.62,1,2022-01-01,52.00837250000001,9.61162749999999,-8.57,11.13000000000001
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2022-01-01 to 2022-06-30,,,,,0.7806,,2022-h1,2022,h1,Investments,78.06,1,2022-01-01,52.00837250000001,26.051627499999995,0.25,20.220000000000006
Highway Insurance Company Limited,ALLIANZ SE,2022-01-01 to 2022-06-30,,,,0.5152,,,2022-h1,2022,h1,Insurance,51.52,1,2022-01-01,52.00837250000001,-0.4883725000000041,-10.310000000000002,10.989496567505725
Hiscox Insurance Company Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.4548,,,2022-h1,2022,h1,Insurance,45.48,1,2022-01-01,52.00837250000001,-6.52837250000001,9.650000000000006,9.650000000000006
Home Retail Group Card Services Limited,J SAINSBURY PLC,2021-09-01 to 2022-02-28,0.2568,,,,,,2022-h1,2022,h1,Banking,25.68,1,2022-01-01,52.00837250000001,-26.328372500000008,4.399999999999999,6.039999999999999
Homeserve Membership Limited,NO GROUP,2021-10-01 to 2022-03-31,,,,0.3771,,,2022-h1,2022,h1,Insurance,37.71,1,2022-01-01,52.00837250000001,-14.298372500000006,-12.91,12.91
Howserv Limited,STAYSURE HOLDINGS LTD,2022-01-01 to 2022-06-30,,,,0.1941,,,2022-h1,2022,h1,Insurance,19.41,1,2022-01-01,52.00837250000001,-32.59837250000001,22.88,22.88
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2022-01-01 to 2022-06-30,0.6083,0.5714,0.627,0.7091,0.6479,,2022-h1,2022,h1,Banking,63.274,1,2022-01-01,52.00837250000001,11.265627499999994,-3.666000000000004,5.385999999999996
I Go 4 Ltd.,NO GROUP,2022-01-01 to 2022-06-30,,,,0.4802,,,2022-h1,2022,h1,Insurance,48.02,1,2022-01-01,52.00837250000001,-3.988372500000004,-6.0,16.280000000000005
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,2022-01-01 to 2022-06-30,,,,0.6163,,,2022-h1,2022,h1,Insurance,61.63,1,2022-01-01,52.00837250000001,9.621627499999995,,13.320000000000007
Integra Insurance Solutions Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.6004,,,2022-h1,2022,h1,Insurance,60.040000000000006,1,2022-01-01,52.00837250000001,8.031627499999999,,20.289307479224384
Inter Partner Assistance SA,NO GROUP,2022-01-01 to 2022-06-30,,,,0.8703,,,2022-h1,2022,h1,Insurance,87.03,1,2022-01-01,52.00837250000001,35.021627499999994,-13.300000000000011,17.170000000000016
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,2022-01-01 to 2022-06-30,,0.5071,,,0.3408,,2022-h1,2022,h1,Insurance,42.395,1,2022-01-01,52.00837250000001,-9.613372500000004,11.424999999999995,17.060000000000002
Invesco Fund Managers Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,,0.7054,,2022-h1,2022,h1,Investments,70.54,1,2022-01-01,52.00837250000001,18.5316275,,
