Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,2024-07-01 to 2024-12-31,,,,1162.0,,1162.0,2024-h2,2024,h2,Insurance,6
Experian Limited,EXPERIAN PLC,2024-04-01 to 2024-09-30,,,0.0,2.0,,2.0,2024-h2,2024,h2,Insurance,6
Extracover Limited,NO GROUP,2024-07-01 to 2024-12-31,0.0,,0.0,519.0,,519.0,2024-h2,2024,h2,Insurance,6
Family Assurance Friendly Society Limited,NO GROUP,2024-07-01 to 2024-12-31,,5.0,,429.0,95.0,529.0,2024-h2,2024,h2,Insurance,6
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2024-07-01 to 2024-12-31,219.0,,,,611.0,830.0,2024-h2,2024,h2,Investments,6
FCE Bank Plc,FORD MOTOR CO,2024-07-01 to 2024-12-31,146.0,,,,,146.0,2024-h2,2024,h2,Banking,6
Financial Administration Services Limited,FIDELITY HOLDINGS LIMITED,2024-07-01 to 2024-12-31,,710.0,,,1320.0,2030.0,2024-h2,2024,h2,Investments,6
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2024-07-01 to 2024-12-31,,,,9224.0,,9224.0,2024-h2,2024,h2,Insurance,6
FirstRand Bank Limited,FIRSTRAND LIMITED,2024-07-01 to 2024-12-31,,,,42.0,,42.0,2024-h2,2024,h2,Banking,6
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2024-07-01 to 2024-12-31,,12.0,,33.0,457.0,502.0,2024-h2,2024,h2,Insurance,6
Forsakringsaktiebolaget Agria (publ),NO GROUP,2024-07-01 to 2024-12-31,,,,674.0,,674.0,2024-h2,2024,h2,Insurance,6
Fortegra Europe Insurance Company Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,,3858.0,,3858.0,2024-h2,2024,h2,Insurance,6
Funding Circle Ltd,NO GROUP,2024-07-01 to 2024-12-31,,,,,36.0,36.0,2024-h2,2024,h2,Investments,6
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,,11.0,,,551.0,562.0,2024-h2,2024,h2,Investments,6
Hargreaves Lansdown Asset Management Limited,HARGREAVES LANSDOWN PLC,2024-07-01 to 2024-12-31,,2594.0,,,3109.0,5703.0,2024-h2,2024,h2,Energy & Utilities,6
Hastings Insurance Services Limited,HASTINGS GROUP,2024-07-01 to 2024-12-31,,,,15998.0,,15998.0,2024-h2,2024,h2,Insurance,6
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2024-07-01 to 2024-12-31,0.0,0.0,0.0,0.0,710.0,710.0,2024-h2,2024,h2,Investments,6
HELVETIA GLOBAL SOLUTIONS LTD,NO GROUP,2024-07-01 to 2024-12-31,,,,1232.0,,1232.0,2024-h2,2024,h2,Insurance,6
Highway Insurance Company Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,505.0,,505.0,2024-h2,2024,h2,Insurance,6
Hiscox Insurance Company Limited,HISCOX LTD.,2024-07-01 to 2024-12-31,,,,510.0,,510.0,2024-h2,2024,h2,Insurance,6
Home Retail Group Card Services Limited,J SAINSBURY PLC,2024-03-01 to 2024-08-31,3944.0,,,,,3944.0,2024-h2,2024,h2,Banking,6
Homeserve Membership Limited,HOMESERVE PLC,2024-07-01 to 2024-12-31,,,,2489.0,,2489.0,2024-h2,2024,h2,Insurance,6
Hood Travel Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,681.0,,681.0,2024-h2,2024,h2,Insurance,6
Howserv Limited,STAYSURE HOLDINGS LTD,2024-07-01 to 2024-12-31,,,,2239.0,,2239.0,2024-h2,2024,h2,Insurance,6
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2024-07-01 to 2024-12-31,91184.0,29.0,5656.0,469.0,1083.0,98421.0,2024-h2,2024,h2,Banking,6
I Go 4 Ltd.,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,,,,890.0,,890.0,2024-h2,2024,h2,Insurance,6
Ikano Bank AB (publ),NO GROUP,2024-07-01 to 2024-12-31,1357.0,,,,,1357.0,2024-h2,2024,h2,Banking,6
Insurance Factory Ltd,MARKERSTUDY GROUP,2024-07-01 to 2024-12-31,,,,4565.0,,4565.0,2024-h2,2024,h2,Insurance,6
Inter Partner Assistance SA,NO GROUP,2024-07-01 to 2024-12-31,,,,9669.0,,9669.0,2024-h2,2024,h2,Insurance,6
Interactive Brokers (U.K.) Limited,NO GROUP,2024-07-01 to 2024-12-31,,,,,617.0,617.0,2024-h2,2024,h2,Investments,6
Interactive Investor Services Limited,INTERACTIVE INVESTOR SERVICES LIMITED,2024-07-01 to 2024-12-31,,479.0,,,1614.0,2093.0,2024-h2,2024,h2,Investments,6
Invesco Fund Managers Limited,INVESCO LTD,2024-07-01 to 2024-12-31,,,,,544.0,544.0,2024-h2,2024,h2,Investments,6
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,2024-03-01 to 2024-08-31,,,,1.0,,1.0,2024-h2,2024,h2,Insurance,6
