Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
Kensington Mortgage Company Limited,NO GROUP,2023-07-01 to 2023-12-31,,,1101.0,,,1101.0,2023-h2,2023,h2,Mortgage & Lending,4
Kroo Bank Ltd,NO GROUP,2023-07-01 to 2023-12-31,1177.0,,,,,1177.0,2023-h2,2023,h2,Banking,4
Landmark Mortgages Limited,NO GROUP,2023-07-01 to 2023-12-31,,,1033.0,,,1033.0,2023-h2,2023,h2,Mortgage & Lending,4
LeasePlan UK Limited,LP GROUP B.V.,2023-07-01 to 2023-12-31,,,,4.0,,4.0,2023-h2,2023,h2,Insurance,4
Leeds Building Society,LEEDS BUILDING SOCIETY,2023-07-01 to 2023-12-31,1806.0,,1265.0,14.0,,3085.0,2023-h2,2023,h2,Banking,4
Legal & General (Portfolio Management Services) Ltd,LEGAL & GENERAL GROUP PLC,2023-07-01 to 2023-12-31,,555.0,,,8.0,563.0,2023-h2,2023,h2,Insurance,4
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2023-07-01 to 2023-12-31,,1192.0,,2925.0,,4117.0,2023-h2,2023,h2,Insurance,4
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED,2023-07-01 to 2023-12-31,1.0,559.0,,1321.0,472.0,2353.0,2023-h2,2023,h2,Insurance,4
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,2023-07-01 to 2023-12-31,,,,13149.0,,13149.0,2023-h2,2023,h2,Insurance,4
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2023-07-01 to 2023-12-31,0.0,0.0,0.0,6001.0,0.0,6001.0,2023-h2,2023,h2,Banking,4
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2023-07-01 to 2023-12-31,75689.0,65.0,2988.0,474.0,86.0,79302.0,2023-h2,2023,h2,Banking,4
London and Country Mortgages Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,512.0,31.0,,543.0,2023-h2,2023,h2,Mortgage & Lending,4
M & G Securities Limited,M&G PLC,2023-07-01 to 2023-12-31,,,,,843.0,843.0,2023-h2,2023,h2,Investments,4
ManyPets Ltd,NO GROUP,2023-04-01 to 2023-09-30,,,,6507.0,,6507.0,2023-h2,2023,h2,Insurance,4
Markerstudy Insurance Services Limited,MARKERSTUDY GROUP,2023-07-01 to 2023-12-31,,,,614.0,,614.0,2023-h2,2023,h2,Insurance,4
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2023-07-01 to 2023-12-31,9668.0,0.0,0.0,160.0,0.0,9828.0,2023-h2,2023,h2,Banking,4
Marshmallow Financial Services Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,,2003.0,,2003.0,2023-h2,2023,h2,Insurance,4
MBNA Limited,LLOYDS BANKING GROUP PLC,2023-07-01 to 2023-12-31,10562.0,0.0,0.0,132.0,0.0,10694.0,2023-h2,2023,h2,Banking,4
MetLife Europe d.a.c.,NO GROUP,2023-07-01 to 2023-12-31,,58.0,,473.0,18.0,549.0,2023-h2,2023,h2,Insurance,4
Metro Bank PLC,METRO BANK PLC,2023-07-01 to 2023-12-31,9093.0,,257.0,,0.0,9350.0,2023-h2,2023,h2,Banking,4
Monzo Bank Ltd,MONZO BANK LIMITED,2023-03-01 to 2023-08-31,28029.0,,,,,28029.0,2023-h2,2023,h2,Banking,4
Moorcroft Debt Recovery Limited,NO GROUP,2023-02-01 to 2023-07-31,524.0,,,,,524.0,2023-h2,2023,h2,Banking,4
MotoNovo Finance Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,39.0,,39.0,2023-h2,2023,h2,Mortgage & Lending,4
Munich Re Digital Partners Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,,2140.0,,2140.0,2023-h2,2023,h2,Insurance,4
National House-Building Council,NO GROUP,2023-04-01 to 2023-09-30,,,,506.0,,506.0,2023-h2,2023,h2,Insurance,4
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,2023-07-01 to 2023-12-31,73336.0,34.0,4972.0,138.0,192.0,78672.0,2023-h2,2023,h2,Banking,4
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2023-04-05 to 2023-09-30,46352.0,4.0,4507.0,376.0,224.0,51463.0,2023-h2,2023,h2,Banking,4
Newcastle Building Society,NO GROUP,2023-07-01 to 2023-12-31,587.0,0.0,124.0,0.0,6.0,717.0,2023-h2,2023,h2,Banking,4
Northern Bank Limited,DANSKE BANK A/S,2023-07-01 to 2023-12-31,1386.0,,111.0,1.0,1.0,1499.0,2023-h2,2023,h2,Banking,4
Nutmeg Saving and Investment Limited,NO GROUP,2023-07-01 to 2023-12-31,,119.0,,,523.0,642.0,2023-h2,2023,h2,Investments,4
One Call Insurance Services Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,3884.0,,3884.0,2023-h2,2023,h2,Insurance,4
OneSavings Bank Plc,ONESAVINGS BANK PLC,2023-07-01 to 2023-12-31,1587.0,,1237.0,,,2824.0,2023-h2,2023,h2,Banking,4
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2023-04-01 to 2023-09-30,943.0,,304.0,2.0,,1249.0,2023-h2,2023,h2,Banking,4
People's Administration Services Limited,NO GROUP,2023-04-01 to 2023-09-30,,4357.0,,,,4357.0,2023-h2,2023,h2,Insurance,4
Pepper (UK) Limited,PEPPER FINANCIAL SERVICES GROUP,2023-07-01 to 2023-12-31,,,974.0,,,974.0,2023-h2,2023,h2,Mortgage & Lending,4
Phoenix Life Assurance Limited,PHOENIX GROUP,2023-07-01 to 2023-12-31,,1371.0,0.0,206.0,73.0,1650.0,2023-h2,2023,h2,Insurance,4
Phoenix Life Limited,PHOENIX GROUP,2023-07-01 to 2023-12-31,,5267.0,11.0,1931.0,562.0,7771.0,2023-h2,2023,h2,Insurance,4
Pinnacle Insurance Plc,BNP PARIBAS GROUP,2023-07-01 to 2023-12-31,,,,2698.0,,2698.0,2023-h2,2023,h2,Insurance,4
Post Office Management Services Limited,POST OFFICE LIMITED,2023-04-01 to 2023-09-30,,,,665.0,,665.0,2023-h2,2023,h2,Insurance,4
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2023-07-01 to 2023-12-31,903.0,,507.0,5.0,1.0,1416.0,2023-h2,2023,h2,Banking,4
QBE UK Limited,QBE INSURANCE GROUP,2023-07-01 to 2023-12-31,,,,838.0,,838.0,2023-h2,2023,h2,Insurance,4
Qmetric Group Limited,NO GROUP,2023-04-01 to 2023-09-30,,,,2574.0,,2574.0,2023-h2,2023,h2,Insurance,4
Quilter Investment Platform Limited,QUILTER GROUP,2023-07-01 to 2023-12-31,,,,,736.0,736.0,2023-h2,2023,h2,Investments,4
Quilter Life & Pensions Limited,QUILTER GROUP,2023-07-01 to 2023-12-31,,639.0,,,159.0,798.0,2023-h2,2023,h2,Insurance,4
RAC Motoring Services,RAC GROUP (HOLDINGS) LIMITED,2023-07-01 to 2023-12-31,,,,10303.0,,10303.0,2023-h2,2023,h2,Insurance,4
RBS Collective Investment Funds Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,,1504.0,1504.0,2023-h2,2023,h2,Investments,4
ReAssure Life Limited,PHOENIX GROUP,2023-07-01 to 2023-12-31,,224.0,,415.0,256.0,895.0,2023-h2,2023,h2,Insurance,4
ReAssure Limited,PHOENIX GROUP,2023-07-01 to 2023-12-31,,3294.0,1.0,700.0,818.0,4813.0,2023-h2,2023,h2,Insurance,4
Reassured Ltd,NO GROUP,2023-02-01 to 2023-07-31,,,,515.0,,515.0,2023-h2,2023,h2,Insurance,4
Rock Insurance Services Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,609.0,,609.0,2023-h2,2023,h2,Insurance,4
Royal & Sun Alliance Insurance Limited,RSA INSURANCE UK,2023-07-01 to 2023-12-31,,,,18883.0,,18883.0,2023-h2,2023,h2,Insurance,4
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,2023-07-01 to 2023-12-31,,,,649.0,,649.0,2023-h2,2023,h2,Insurance,4
Saga Services Limited,SAGA PLC,2023-02-01 to 2023-07-31,,,,12967.0,,12967.0,2023-h2,2023,h2,Insurance,4
Sainsbury's Bank Plc,J SAINSBURY PLC,2023-03-01 to 2023-08-31,6513.0,,112.0,746.0,,7371.0,2023-h2,2023,h2,Banking,4
Santander Consumer (UK) Plc,SANTANDER UK GROUP,2023-07-01 to 2023-12-31,,,,1.0,,1.0,2023-h2,2023,h2,Insurance,4
Santander ISA Managers Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,,511.0,511.0,2023-h2,2023,h2,Investments,4
Santander UK Plc,SANTANDER UK GROUP,2023-07-01 to 2023-12-31,64910.0,20.0,8167.0,147.0,46.0,73290.0,2023-h2,2023,h2,Banking,4
Scottish Equitable Plc,AEGON N.V.,2023-07-01 to 2023-12-31,,5032.0,,185.0,60.0,5277.0,2023-h2,2023,h2,Insurance,4
Scottish Friendly Assurance Society Limited,NO GROUP,2023-07-01 to 2023-12-31,,366.0,,367.0,543.0,1276.0,2023-h2,2023,h2,Insurance,4
Scottish Widows Administration Services Limited,NO GROUP,2023-07-01 to 2023-12-31,0.0,644.0,0.0,0.0,0.0,644.0,2023-h2,2023,h2,Insurance,4
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2023-07-01 to 2023-12-31,0.0,11723.0,0.0,1820.0,2872.0,16415.0,2023-h2,2023,h2,Insurance,4
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2023-07-01 to 2023-12-31,0.0,0.0,0.0,0.0,606.0,606.0,2023-h2,2023,h2,Investments,4
Secure Trust Bank Plc,SECURE TRUST BANK PLC,2023-07-01 to 2023-12-31,525.0,,1.0,,,526.0,2023-h2,2023,h2,Banking,4
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,2023-07-01 to 2023-12-31,1782.0,,582.0,1.0,,2365.0,2023-h2,2023,h2,Banking,4
Shop Direct Finance Company Limited,THE VERY GROUP,2023-07-01 to 2023-12-31,,,,568.0,,568.0,2023-h2,2023,h2,Mortgage & Lending,4
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2023-07-01 to 2023-12-31,,,,2307.0,,2307.0,2023-h2,2023,h2,Insurance,4
Skipton Building Society,SKIPTON BUILDING SOCIETY,2023-07-01 to 2023-12-31,3516.0,37.0,610.0,7.0,194.0,4364.0,2023-h2,2023,h2,Banking,4
Society of Lloyd's,SOCIETY OF LLOYD'S,2023-07-01 to 2023-12-31,,,,5352.0,,5352.0,2023-h2,2023,h2,Insurance,4
Somerset Bridge Insurance Services Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,761.0,,761.0,2023-h2,2023,h2,Insurance,4
St James's Place UK plc,ST. JAMES'S PLACE PLC,2023-07-01 to 2023-12-31,,692.0,,8.0,173.0,873.0,2023-h2,2023,h2,Insurance,4
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2023-07-01 to 2023-12-31,1.0,4748.0,13.0,57.0,3787.0,8606.0,2023-h2,2023,h2,Insurance,4
Standard Life Assurance Limited,PHOENIX GROUP,2023-07-01 to 2023-12-31,,3026.0,5.0,24.0,207.0,3262.0,2023-h2,2023,h2,Insurance,4
Standard Life Savings Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,,990.0,990.0,2023-h2,2023,h2,Insurance,4
Starling Bank Limited,NO GROUP,2023-04-01 to 2023-09-30,17881.0,,,,,17881.0,2023-h2,2023,h2,Banking,4
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",2023-07-01 to 2023-12-31,,,,1095.0,,1095.0,2023-h2,2023,h2,Insurance,4
Sun Life Assurance Company of Canada (U.K.) Limited,PHOENIX GROUP,2023-07-01 to 2023-12-31,,790.0,,466.0,132.0,1388.0,2023-h2,2023,h2,Insurance,4
Swift 1st Limited,NO GROUP,2023-04-01 to 2023-09-30,,,948.0,1.0,,949.0,2023-h2,2023,h2,Mortgage & Lending,4
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,2023-07-01 to 2023-12-31,,,,4106.0,,4106.0,2023-h2,2023,h2,Insurance,4
Telefonica UK Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,28.0,,28.0,2023-h2,2023,h2,Insurance,4
Tesco Personal Finance PLC,TESCO BANK (TESCO PLC),2023-03-01 to 2023-08-31,16496.0,,,3317.0,,19813.0,2023-h2,2023,h2,Mortgage & Lending,4
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),2023-03-01 to 2023-08-31,,,,2377.0,,2377.0,2023-h2,2023,h2,Insurance,4
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2023-07-01 to 2023-12-31,12191.0,0.0,1950.0,8.0,1.0,14150.0,2023-h2,2023,h2,Banking,4
The Mortgage Business Plc,LLOYDS BANKING GROUP PLC,2023-07-01 to 2023-12-31,0.0,0.0,597.0,0.0,0.0,597.0,2023-h2,2023,h2,Mortgage & Lending,4
The Mortgage Works (UK) Plc,NATIONWIDE BUILDING SOCIETY,2023-04-01 to 2023-09-30,,,1658.0,,,1658.0,2023-h2,2023,h2,Mortgage & Lending,4
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2023-07-01 to 2023-12-31,,76.0,,6683.0,62.0,6821.0,2023-h2,2023,h2,Insurance,4
The Prudential Assurance Company Limited,M&G PLC,2023-07-01 to 2023-12-31,,6267.0,31.0,640.0,3084.0,10022.0,2023-h2,2023,h2,Insurance,4
The Royal Bank of Scotland Plc,NATWEST GROUP,2023-07-01 to 2023-12-31,16005.0,6.0,1192.0,68.0,34.0,17305.0,2023-h2,2023,h2,Banking,4
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,2023-07-01 to 2023-12-31,,5687.0,,1965.0,270.0,7922.0,2023-h2,2023,h2,Insurance,4
Topaz Finance Limited,NO GROUP,2023-07-01 to 2023-12-31,,,2874.0,,,2874.0,2023-h2,2023,h2,Mortgage & Lending,4
Triodos Bank UK Limited,NO GROUP,2023-07-01 to 2023-12-31,526.0,,,,61.0,587.0,2023-h2,2023,h2,Banking,4
TSB Bank plc,BANCO DE SABADELL SA,2023-07-01 to 2023-12-31,27450.0,,2195.0,25.0,,29670.0,2023-h2,2023,h2,Banking,4
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2023-07-01 to 2023-12-31,,,,53925.0,,53925.0,2023-h2,2023,h2,Insurance,4
UK Mortgage Lending Ltd,NO GROUP,2023-07-01 to 2023-12-31,,,568.0,,,568.0,2023-h2,2023,h2,Mortgage & Lending,4
Usay Business Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,505.0,,505.0,2023-h2,2023,h2,Insurance,4
"Vanguard Asset Management, Ltd",NO GROUP,2023-07-01 to 2023-12-31,,579.0,,,1115.0,1694.0,2023-h2,2023,h2,Energy & Utilities,4
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,2023-07-01 to 2023-12-31,29869.0,,,,,29869.0,2023-h2,2023,h2,Banking,4
Vitality Corporate Services Limited,DISCOVERY LIMITED,2023-07-01 to 2023-12-31,,22.0,,10027.0,15.0,10064.0,2023-h2,2023,h2,Insurance,4
Vodafone Limited,NO GROUP,2023-04-01 to 2023-09-30,,,,571.0,,571.0,2023-h2,2023,h2,Insurance,4
Wesleyan Assurance Society,NO GROUP,2023-07-01 to 2023-12-31,,277.0,,81.0,301.0,659.0,2023-h2,2023,h2,Insurance,4
Xbridge Limited,NO GROUP,2023-07-01 to 2023-12-31,,,,963.0,,963.0,2023-h2,2023,h2,Insurance,4
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2023-07-01 to 2023-12-31,2937.0,1.0,712.0,5.0,,3655.0,2023-h2,2023,h2,Banking,4
Zopa Bank Limited,NO GROUP,2023-07-01 to 2023-12-31,3092.0,,,,,3092.0,2023-h2,2023,h2,Banking,4
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2023-07-01 to 2023-12-31,0.0,1048.0,1.0,2443.0,496.0,3988.0,2023-h2,2023,h2,Insurance,4
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,2023-07-01 to 2023-12-31,,,,3717.0,,3717.0,2023-h2,2023,h2,Insurance,4
Accord Mortgages Limited,YORKSHIRE BUILDING SOCIETY,2024-01-01 to 2024-06-30,17.0,,975.0,,,992.0,2024-h1,2024,h1,Mortgage & Lending,5
Accredited Insurance (Europe) Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,5609.0,,5609.0,2024-h1,2024,h1,Mortgage & Lending,5
Acm Ulr Limited,MARKERSTUDY GROUP,2024-01-01 to 2024-06-30,,,,1247.0,,1247.0,2024-h1,2024,h1,Insurance,5
Acorn Insurance & Financial Services Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,633.0,,633.0,2024-h1,2024,h1,Insurance,5
Action 365 Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,997.0,,997.0,2024-h1,2024,h1,Insurance,5
Adrian Flux Insurance Services Group,NO GROUP,2023-10-01 to 2024-03-31,,,,1271.0,,1271.0,2024-h1,2024,h1,Insurance,5
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2024-01-01 to 2024-06-30,,,,758.0,,758.0,2024-h1,2024,h1,Insurance,5
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,2024-01-01 to 2024-06-30,,,,1121.0,,1121.0,2024-h1,2024,h1,Insurance,5
Ageas Insurance Limited,AGEAS SA-NV,2024-01-01 to 2024-06-30,,,,6073.0,,6073.0,2024-h1,2024,h1,Insurance,5
Ageas Retail Limited,AGEAS SA-NV,2024-01-01 to 2024-06-30,,,,1096.0,,1096.0,2024-h1,2024,h1,Insurance,5
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,2024-01-01 to 2024-06-30,537.0,,27.0,2.0,2.0,568.0,2024-h1,2024,h1,Banking,5
AIG Life Limited,AVIVA PLC,2024-01-01 to 2024-06-30,,,,633.0,,633.0,2024-h1,2024,h1,Insurance,5
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2024-01-01 to 2024-06-30,,,,2542.0,,2542.0,2024-h1,2024,h1,Insurance,5
AJ Bell Management Limited,AJ BELL GROUP,2023-10-01 to 2024-03-31,,763.0,,,,763.0,2024-h1,2024,h1,Insurance,5
AJ Bell Securities Limited,AJ BELL GROUP,2023-10-01 to 2024-03-31,23.0,132.0,,,537.0,692.0,2024-h1,2024,h1,Investments,5
Aldermore Bank Plc,FIRSTRAND LIMITED,2024-01-01 to 2024-06-30,872.0,,924.0,,,1796.0,2024-h1,2024,h1,Banking,5
Allianz Insurance Plc,ALLIANZ SE,2024-01-01 to 2024-06-30,,,,3395.0,,3395.0,2024-h1,2024,h1,Insurance,5
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,2024-01-01 to 2024-06-30,8716.0,,,71.0,,8787.0,2024-h1,2024,h1,Banking,5
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2024-01-01 to 2024-06-30,,,,3167.0,,3167.0,2024-h1,2024,h1,Insurance,5
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,2024-01-01 to 2024-06-30,,,,2046.0,,2046.0,2024-h1,2024,h1,Insurance,5
Animal Friends Insurance Services Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,3888.0,,3888.0,2024-h1,2024,h1,Insurance,5
Arnold Clark Automobiles Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,21.0,,21.0,2024-h1,2024,h1,Insurance,5
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,2024-01-01 to 2024-06-30,,,,1082.0,,1082.0,2024-h1,2024,h1,Insurance,5
Assurant General Insurance Limited,ASSURANT INC,2024-01-01 to 2024-06-30,,,,6202.0,,6202.0,2024-h1,2024,h1,Insurance,5
Astrenska Insurance Limited,NO GROUP,2023-11-01 to 2024-04-30,,,,1911.0,,1911.0,2024-h1,2024,h1,Insurance,5
Asurion Europe Limited,ASURION,2024-01-01 to 2024-06-30,,,,1586.0,,1586.0,2024-h1,2024,h1,Insurance,5
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,2024-01-01 to 2024-06-30,,,,12140.0,,12140.0,2024-h1,2024,h1,Insurance,5
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2023-08-01 to 2024-01-31,,,,11667.0,,11667.0,2024-h1,2024,h1,Insurance,5
Avantia Insurance Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,1764.0,,1764.0,2024-h1,2024,h1,Insurance,5
Aviva Health UK Limited,AVIVA PLC,2024-01-01 to 2024-06-30,,,,1606.0,,1606.0,2024-h1,2024,h1,Insurance,5
Aviva Insurance Limited,AVIVA PLC,2024-01-01 to 2024-06-30,,,,48518.0,,48518.0,2024-h1,2024,h1,Insurance,5
Aviva Life Services UK Limited,AVIVA PLC,2024-01-01 to 2024-06-30,,16375.0,1115.0,3869.0,3032.0,24391.0,2024-h1,2024,h1,Insurance,5
AWP Assistance UK Ltd,ALLIANZ SE,2024-01-01 to 2024-06-30,,,,2493.0,,2493.0,2024-h1,2024,h1,Insurance,5
AWP P&C S.A.,ALLIANZ SE,2024-01-01 to 2024-06-30,,,,1698.0,,1698.0,2024-h1,2024,h1,Insurance,5
AXA Insurance Designated Activity Company,AXA GROUP,2024-01-01 to 2024-06-30,,,,2167.0,,2167.0,2024-h1,2024,h1,Insurance,5
AXA Insurance UK Plc,AXA GROUP,2024-01-01 to 2024-06-30,,,,28525.0,,28525.0,2024-h1,2024,h1,Insurance,5
AXA PPP Healthcare Limited,AXA GROUP,2024-01-01 to 2024-06-30,,,,41657.0,,41657.0,2024-h1,2024,h1,Insurance,5
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2024-01-01 to 2024-06-30,3059.0,,794.0,35.0,1.0,3889.0,2024-h1,2024,h1,Banking,5
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,63896.0,9.0,14104.0,291.0,57.0,78357.0,2024-h1,2024,h1,Banking,5
Barclays Bank Plc,BARCLAYS PLC,2024-01-01 to 2024-06-30,9600.0,32.0,2.0,,1206.0,10840.0,2024-h1,2024,h1,Banking,5
Barclays Bank UK PLC,BARCLAYS PLC,2024-01-01 to 2024-06-30,71096.0,11.0,8557.0,245.0,46.0,79955.0,2024-h1,2024,h1,Banking,5
BISL Limited,MARKERSTUDY GROUP,2024-01-01 to 2024-06-30,,,,11260.0,,11260.0,2024-h1,2024,h1,Insurance,5
Black Horse Limited,LLOYDS BANKING GROUP PLC,2024-01-01 to 2024-06-30,,,374.0,38.0,,412.0,2024-h1,2024,h1,Mortgage & Lending,5
Brightside Insurance Services Limited,MARKERSTUDY GROUP,2024-01-01 to 2024-06-30,,,,723.0,,723.0,2024-h1,2024,h1,Insurance,5
British Gas Services Limited,CENTRICA PLC,2024-01-01 to 2024-06-30,,,,55282.0,,55282.0,2024-h1,2024,h1,Energy & Utilities,5
Bspoke Underwriting Ltd,NO GROUP,2023-10-01 to 2024-03-30,,,,526.0,,526.0,2024-h1,2024,h1,Insurance,5
BUPA Insurance Services Limited,BUPA GROUP,2024-01-01 to 2024-06-30,,,,33137.0,,33137.0,2024-h1,2024,h1,Insurance,5
Cabot Credit Management Group Limited,NO GROUP,2024-01-01 to 2024-06-30,,,24.0,,,24.0,2024-h1,2024,h1,Mortgage & Lending,5
Call Assist Ltd,CALL ASSIST LIMITED,2023-11-01 to 2024-04-30,,,,852.0,,852.0,2024-h1,2024,h1,Insurance,5
Canada Life Limited,NO GROUP,2024-01-01 to 2024-06-30,,886.0,,156.0,65.0,1107.0,2024-h1,2024,h1,Insurance,5
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2024-01-01 to 2024-06-30,24807.0,,,12.0,,24819.0,2024-h1,2024,h1,Banking,5
Car Care Plan Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,978.0,,978.0,2024-h1,2024,h1,Insurance,5
Carfinance247 Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,146.0,,146.0,2024-h1,2024,h1,Mortgage & Lending,5
Carole Nash Insurance Consultants Ltd,MARKERSTUDY GROUP,2024-01-01 to 2024-06-30,,,,4413.0,,4413.0,2024-h1,2024,h1,Insurance,5
Charter Court Financial Services Limited,CHARTER COURT FINANCIAL SERVICES GROUP PLC,2024-01-01 to 2024-06-30,772.0,,1420.0,,,2192.0,2024-h1,2024,h1,Mortgage & Lending,5
Chetwood Financial Limited,NO GROUP,2023-10-01 to 2024-03-31,354.0,,,,,354.0,2024-h1,2024,h1,Banking,5
Chubb European Group SE,CHUBB LIMITED,2024-01-01 to 2024-06-30,,,,4575.0,,4575.0,2024-h1,2024,h1,Insurance,5
Citibank UK Limited,CITI GROUP,2024-01-01 to 2024-06-30,1808.0,,,,34.0,1842.0,2024-h1,2024,h1,Banking,5
ClearBank Limited,NO GROUP,2024-01-01 to 2024-06-30,3239.0,,,,,3239.0,2024-h1,2024,h1,Banking,5
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2023-08-01 to 2024-01-31,347.0,,,1.0,,348.0,2024-h1,2024,h1,Banking,5
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2023-10-01 to 2024-03-31,32221.0,2.0,2126.0,16.0,12.0,34377.0,2024-h1,2024,h1,Banking,5
Cofunds Limited,AEGON N.V.,2024-01-01 to 2024-06-30,,109.0,,,962.0,1071.0,2024-h1,2024,h1,Investments,5
Columbia Threadneedle Management Limited,NO GROUP,2024-01-01 to 2024-06-30,,,,,637.0,637.0,2024-h1,2024,h1,Investments,5
Compare The Market Limited,NO GROUP,2024-01-01 to 2024-06-30,0.0,,,505.0,,505.0,2024-h1,2024,h1,Insurance,5
Complete Cover Group Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,900.0,,900.0,2024-h1,2024,h1,Insurance,5
Connells Limited,SKIPTON BUILDING SOCIETY,2024-01-01 to 2024-06-30,,,466.0,106.0,,572.0,2024-h1,2024,h1,Mortgage & Lending,5
CORGI HomePlan Ltd,OVO GROUP,2024-01-01 to 2024-06-30,,,,1956.0,,1956.0,2024-h1,2024,h1,Insurance,5
Coutts & Company,NATWEST GROUP,2024-01-01 to 2024-06-30,1368.0,13.0,131.0,11.0,66.0,1589.0,2024-h1,2024,h1,Banking,5
Covea Insurance plc,COVEA GROUP,2024-01-01 to 2024-06-30,,,,2243.0,,2243.0,2024-h1,2024,h1,Insurance,5
Coventry Building Society,NO GROUP,2024-01-01 to 2024-06-30,3224.0,,738.0,2.0,,3964.0,2024-h1,2024,h1,Banking,5
Creation Consumer Finance Ltd,BNP PARIBAS GROUP,2024-01-01 to 2024-06-30,6333.0,,,0.0,,6333.0,2024-h1,2024,h1,Mortgage & Lending,5
Creation Financial Services Limited,BNP PARIBAS GROUP,2024-01-01 to 2024-06-30,667.0,,,0.0,,667.0,2024-h1,2024,h1,Banking,5
Cynergy Bank Plc,CYNERGY CAPITAL LTD,2024-01-01 to 2024-06-30,701.0,,3.0,,,704.0,2024-h1,2024,h1,Banking,5
DAS Legal Expenses Insurance Company Limited,ERGO GROUP,2024-01-01 to 2024-06-30,,,,1947.0,,1947.0,2024-h1,2024,h1,Insurance,5
Devitt Insurance Services Ltd,NO GROUP,2024-01-01 to 2024-06-30,,,,486.0,,486.0,2024-h1,2024,h1,Insurance,5
